game_id;date;home_club_id;away_club_id;home_club_manager_name;away_club_manager_name;stadium;attendance;referee;home_club_name;away_club_name;Results
4094807;17/03/2024;1421;347;Will Still;László Bölöni;Stade Auguste-Delaune;14335.0;Hakim Ben El Hadj;Stade de Reims;Football Club de Metz;1
4094806;17/03/2024;3524;738;Pascal Gastien;Luka Elsner;Stade Gabriel-Montpied;9638.0;Marc Bollengier;Clermont Foot 63;Le Havre Athletic Club;1
4094815;29/03/2024;1082;826;Paulo Fonseca;Franck Haise;Decathlon Arena-Stade Pierre-Mauroy;48233.0;Willy Delajod;Lille Olympique Sporting Club Lille Métropole;Racing Club de Lens;1
4094816;30/03/2024;1041;1421;Pierre Sage;Will Still;Groupama Stadium;43097.0;Thomas Léonard;Olympique Lyonnais;Stade de Reims;0
4094820;30/03/2024;347;162;László Bölöni;Adi Hütter;Stade Saint-Symphorien;26661.0;Eric Wattellier;Football Club de Metz;Association sportive de Monaco Football Club;-1
4094817;31/03/2024;417;995;Francesco Farioli;Antoine Kombouaré;Allianz Riviera;21142.0;Bastien Dechepy;Olympique Gymnaste Club Nice Côte d'Azur;Football Club de Nantes;-1
4094818;31/03/2024;3524;415;Pascal Gastien;Carles Martínez;Stade Gabriel-Montpied;10499.0;Pierre Gaillouste;Clermont Foot 63;Toulouse Football Club;-1
4094812;31/03/2024;667;273;Patrick Vieira;Julien Stéphan;Stade de la Meinau;25407.0;Hakim Ben El Hadj;Racing Club de Strasbourg Alsace;Stade Rennais Football Club;1
4094813;31/03/2024;244;583;Jean-Louis Gasset;Luis Enrique;Orange Vélodrome;66046.0;Benoît Bastien;Olympique de Marseille;Paris Saint-Germain Football Club;-1
4094814;31/03/2024;1158;3911;Régis Le Bris;Éric Roy;Stade du Moustoir;16745.0;Jérôme Brisard;Football Club Lorient-Bretagne Sud;Stade brestois 29;-1
4094819;31/03/2024;738;969;Luka Elsner;Michel Der Zakarian;Stade Océane;20556.0;Mathieu Vernice;Le Havre Athletic Club;Montpellier Hérault Sport Club;-1
4094824;05/04/2024;1082;244;Paulo Fonseca;Jean-Louis Gasset;Decathlon Arena-Stade Pierre-Mauroy;46864.0;Bastien Dechepy;Lille Olympique Sporting Club Lille Métropole;Olympique de Marseille;1
4094826;06/04/2024;826;738;Franck Haise;Luka Elsner;Stade Bollaert-Delelis;38223.0;François Letexier;Racing Club de Lens;Le Havre Athletic Club;0
4094821;06/04/2024;583;3524;Luis Enrique;Pascal Gastien;Parc des Princes;47607.0;Gaël Angoula;Paris Saint-Germain Football Club;Clermont Foot 63;0
4094823;07/04/2024;162;273;Adi Hütter;Julien Stéphan;Stade Louis-II;6634.0;Stéphanie Frappart;Association sportive de Monaco Football Club;Stade Rennais Football Club;1
4094829;07/04/2024;3911;347;Éric Roy;László Bölöni;Stade Francis-Le Blé;14656.0;Benoît Millot;Stade brestois 29;Football Club de Metz;1
4094827;07/04/2024;995;1041;Antoine Kombouaré;Pierre Sage;Stade de la Beaujoire;;Jérôme Brisard;Football Club de Nantes;Olympique Lyonnais;-1
4094828;07/04/2024;969;1158;Michel Der Zakarian;Régis Le Bris;Stade de la Mosson;15234.0;Romain Lissorgue;Montpellier Hérault Sport Club;Football Club Lorient-Bretagne Sud;1
4094822;07/04/2024;415;667;Carles Martínez;Patrick Vieira;Stadium Municipal;23672.0;Ruddy Buquet;Toulouse Football Club;Racing Club de Strasbourg Alsace;0
4094825;07/04/2024;1421;417;Will Still;Francesco Farioli;Stade Auguste-Delaune;14606.0;Eric Wattellier;Stade de Reims;Olympique Gymnaste Club Nice Côte d'Azur;0
4094838;12/04/2024;347;826;László Bölöni;Franck Haise;Stade Saint-Symphorien;23002.0;Romain Lissorgue;Football Club de Metz;Racing Club de Lens;1
4094830;13/04/2024;667;1421;Patrick Vieira;Will Still;Stade de la Meinau;25436.0;Willy Delajod;Racing Club de Strasbourg Alsace;Stade de Reims;1
4094831;13/04/2024;273;415;Julien Stéphan;Carles Martínez;Roazhon Park;28055.0;Florent Batta;Stade Rennais Football Club;Toulouse Football Club;-1
4094837;14/04/2024;738;995;Luka Elsner;Antoine Kombouaré;Stade Océane;23021.0;Hakim Ben El Hadj;Le Havre Athletic Club;Football Club de Nantes;-1
4094836;14/04/2024;3524;969;Pascal Gastien;Michel Der Zakarian;Stade Gabriel-Montpied;10174.0;Thomas Léonard;Clermont Foot 63;Montpellier Hérault Sport Club;0
4094835;14/04/2024;1041;3911;Pierre Sage;Éric Roy;Groupama Stadium;47958.0;Mathieu Vernice;Olympique Lyonnais;Stade brestois 29;1
4094842;19/04/2024;417;1158;Francesco Farioli;Régis Le Bris;Allianz Riviera;21067.0;Jérémy Stinat;Olympique Gymnaste Club Nice Côte d'Azur;Football Club Lorient-Bretagne Sud;1
4094844;20/04/2024;826;3524;Franck Haise;Pascal Gastien;Stade Bollaert-Delelis;37495.0;Benoît Bastien;Racing Club de Lens;Clermont Foot 63;1
4094845;20/04/2024;995;273;Antoine Kombouaré;Julien Stéphan;Stade de la Beaujoire;25433.0;Willy Delajod;Football Club de Nantes;Stade Rennais Football Club;-1
4094839;21/04/2024;583;1041;Luis Enrique;Pierre Sage;Parc des Princes;47700.0;François Letexier;Paris Saint-Germain Football Club;Olympique Lyonnais;1
4094843;21/04/2024;1421;969;Will Still;Michel Der Zakarian;Stade Auguste-Delaune;14183.0;Pierre Gaillouste;Stade de Reims;Montpellier Hérault Sport Club;-1
4094846;21/04/2024;738;347;Luka Elsner;László Bölöni;Stade Océane;21250.0;Marc Bollengier;Le Havre Athletic Club;Football Club de Metz;-1
4094841;21/04/2024;1082;667;Paulo Fonseca;Patrick Vieira;Decathlon Arena-Stade Pierre-Mauroy;40381.0;Benoît Millot;Lille Olympique Sporting Club Lille Métropole;Racing Club de Strasbourg Alsace;1
4094847;21/04/2024;3911;162;Éric Roy;Adi Hütter;Stade Francis-Le Blé;14856.0;Ruddy Buquet;Stade brestois 29;Association sportive de Monaco Football Club;-1
4094840;21/04/2024;415;244;Carles Martínez;Jean-Louis Gasset;Stadium Municipal;29809.0;Clément Turpin;Toulouse Football Club;Olympique de Marseille;0
4094833;24/04/2024;1158;583;Régis Le Bris;Luis Enrique;Stade du Moustoir;16738.0;Marc Bollengier;Football Club Lorient-Bretagne Sud;Paris Saint-Germain Football Club;-1
4094834;24/04/2024;162;1082;Adi Hütter;Paulo Fonseca;Stade Louis-II;7069.0;Clément Turpin;Association sportive de Monaco Football Club;Lille Olympique Sporting Club Lille Métropole;1
4094832;24/04/2024;244;417;Jean-Louis Gasset;Francesco Farioli;Orange Vélodrome;58151.0;Jérémie Pignard;Olympique de Marseille;Olympique Gymnaste Club Nice Côte d'Azur;0
